series_code,size,dim_letter,value
RKH3,13,m1,190
RKH3,13,h2,190
RKH3,13,h1,350
RKH3,13,n1,480
RKH3,13,n2,160
RKH3,13,n3,125
RKH3,13,n4,2341
RKH3,13,G2,335
RKH3,13,d2,200
RKH3,13,D4,195
RKH3,13,G4,335
RKH3,13,D3,190
RKH3,13,D2,190
RKH3,13,l2,350
RKH3,13,G5,480
RKH3,14,a,211.5
RKH3,14,c,475
RKH3,14,b,950
RKH3,14,E,35
RKH3,14,A1,440
RKH3,14,B2,737.5
RKH3,14,B1,597.5
RKH3,14,A3,460
RKH3,14,A2,450
RKH3,14,c1,100
RKH3,14,d6,375
RKH3,14,D5,1010
RKH3,14,e2,340
RKH3,14,h,335
RKH3,14,H,335
RKH3,14,s,2540
RKH3,14,m2,215
RKH3,14,m3,335
RKH3,14,m1,210
RKH3,14,h2,210
RKH3,14,h1,350
RKH3,14,n1,480
RKH3,14,n2,165
RKH3,14,n3,130
RKH3,14,n4,2678
RKH3,14,G2,335
RKH3,14,d2,210
RKH3,14,D4,215
RKH3,14,G4,335
RKH3,14,D3,210
RKH3,14,D2,210
RKH3,14,l2,350
RKH3,14,G5,480
RKH3,15,a,238
RKH3,15,c,535
RKH3,15,b,1040
RKH3,15,E,42
RKH3,15,A1,500
RKH3,15,B2,720
RKH3,15,B1,720
RKH3,15,A3,500
RKH3,15,A2,490
RKH3,15,c1,120
RKH3,15,d6,365
RKH3,15,D5,1135
RKH3,15,e2,375
RKH3,15,h,380
RKH3,15,H,380
RKH3,15,s,3325
RKH3,15,m2,235
RKH3,15,m3,380
RKH3,15,m1,230
RKH3,15,h2,230
RKH3,15,h1,410
RKH3,15,n1,550
RKH3,15,n2,235
RKH3,15,n3,190
RKH3,15,n4,3545
RKH3,15,G2,380
RKH3,15,d2,230
RKH3,15,D4,235
RKH3,15,G4,380
RKH3,15,D3,230
RKH3,15,D2,230
RKH3,15,l2,410
RKH3,15,G5,550
RKH3,16,a,238
RKH3,16,c,535
RKH3,16,b,1040
RKH3,16,E,42
RKH3,16,A1,500
RKH3,16,B2,810
RKH3,16,B1,720
RKH3,16,A3,500
RKH3,16,A2,490
RKH3,16,c1,120
RKH3,16,d6,410
RKH3,16,D5,1180
RKH3,16,e2,375
RKH3,16,h,380
RKH3,16,H,380
RKH3,16,s,3698
RKH3,16,m2,245
RKH3,16,m3,380
RKH3,16,m1,240
RKH3,16,h2,240
RKH3,16,h1,410
RKH3,16,n1,550
RKH3,16,n2,245
RKH3,16,n3,195
RKH3,16,n4,3953
RKH3,16,G2,380
RKH3,16,d2,240
RKH3,16,D4,245
RKH3,16,G4,380
RKH3,16,D3,240
RKH3,16,D2,240
RKH3,16,l2,410
RKH3,16,G5,550
RKH3,17,a,259
RKH3,17,c,600
RKH3,17,b,1170
RKH3,17,E,42
RKH3,17,A1,550
RKH3,17,B2,750
RKH3,17,B1,750
RKH3,17,A3,560
RKH3,17,A2,555
RKH3,17,c1,135
RKH3,17,d6,390
RKH3,17,D5,1175
RKH3,17,e2,425
RKH3,17,h,550
RKH3,17,H,1170
RKH3,17,s,42
RKH3,17,m2,750
RKH3,17,m3,600
RKH3,17,m1,750
RKH3,17,h2,560
RKH3,17,h1,555
RKH3,17,n1,135
RKH3,17,n2,390
RKH3,17,n3,1175
RKH3,17,n4,425
RKH3,17,G2,415
RKH3,17,d2,250
RKH3,17,D4,260
RKH3,17,G4,415
RKH3,17,D3,250
RKH3,17,D2,250
RKH3,17,l2,410
RKH3,17,G5,600
RKH3,18,a,1890
RKH3,18,c,80
RKH3,18,b,690
RKH3,18,E,1095
RKH3,18,A1,270
RKH3,18,B2,235
RKH3,18,B1,445
RKH3,18,A3,252
RKH3,18,A2,265
RKH3,18,c1,81±2
RKH3,18,d6,150
RKH3,18,D5,55 H9
RKH3,18,e2,585
RKH3,18,h,550
RKH3,18,H,1170
RKH3,18,s,42
RKH3,18,m2,870
RKH3,18,m3,600
RKH3,18,m1,750
RKH3,18,h2,560
RKH3,18,h1,555
RKH3,18,n1,135
RKH3,18,n2,450
RKH3,18,n3,1235
RKH3,18,n4,425
RKH3,18,G2,415
RKH3,18,d2,270
RKH3,18,D4,285
RKH3,18,G4,415
RKH3,18,D3,280
RKH3,18,D2,275
RKH3,18,l2,470
RKH3,18,G5,600
RKB2,4,a,495
RKB2,4,b,450
RKB2,4,c,235
RKB2,4,E,150
RKB2,4,g,19
RKB2,4,A1,200
RKB2,4,A2,30
RKB2,4,B1,295
RKB2,4,c1,235
RKB2,4,D5,110
RKB2,4,d6,85
RKB2,4,e3,285
RKB2,4,G6,80
RKB2,4,h,170
RKB2,4,h5,170
RKB2,4,H,80 H7
RKB2,4,m1,170
RKB2,4,m3,85
RKB2,4,n1,170
RKB2,4,n2,235
RKB2,4,n3,10
RKB2,4,n4,-
RKB2,4,s,235
